experimental_rank,model_id,kd_nm,boltz_affinity_pred_value,boltz_rank_within_full_set,task5_existing_global_rank
196.0,UTEXAS_10000794_R828,196.0,-1.6922502517700195,10.0,11
197.0,UTEXAS_10000372_R394,200.0,-1.3549575805664062,26.0,32
198.0,UTEXAS_10000793_R827,221.0,-0.9710809588432312,60.0,76
203.5,UTEXAS_10000668_R700,228.4,-1.5263981819152832,18.0,21
203.5,UTEXAS_10000675_R707,228.4,-1.5247470140457153,19.0,22
203.5,UTEXAS_10000672_R704,228.4,-1.3957126140594482,24.0,30
203.5,UTEXAS_10000669_R701,228.4,-1.272674798965454,34.0,42
203.5,UTEXAS_10000671_R703,228.4,-1.2684391736984253,35.0,43
203.5,UTEXAS_10000665_R697,228.4,-1.2620649337768555,36.0,44
203.5,UTEXAS_10000670_R702,228.4,-1.2447357177734375,37.0,45
203.5,UTEXAS_10000673_R705,228.4,-0.7565667629241943,85.0,109
203.5,UTEXAS_10000667_R699,228.4,-0.7439552545547485,86.0,111
203.5,UTEXAS_10000674_R706,228.4,-0.6083836555480957,106.0,142
209.0,UTEXAS_10000394_R416,240.0,-0.4581807851791382,134.0,174
211.0,UTEXAS_10000374_R396,250.0,-1.2416177988052368,39.0,47
211.0,UTEXAS_10000327_R349,250.0,-1.1281346082687378,49.0,60
211.0,UTEXAS_10000373_R395,250.0,-0.5481845140457153,119.0,156
213.0,UTEXAS_10000792_R826,252.0,-1.5384702682495117,17.0,20
214.0,UTEXAS_10000685_R717,272.0,0.41691702604293823,219.0,306
215.5,UTEXAS_10001010_R1053,290.0,0.2537878453731537,206.0,289
215.5,UTEXAS_10000589_R618,290.0,0.693779706954956,244.0,340
217.0,UTEXAS_10000886_R926,316.0,-1.3877626657485962,25.0,31
218.0,UTEXAS_10000062_R66,320.0,-0.6588962078094482,98.0,131
219.0,UTEXAS_10000585_R614,325.0,3.2321085929870605,301.0,418
220.0,UTEXAS_10000472_R498,330.0,-0.6275349855422974,103.0,137
221.0,UTEXAS_10000358_R380,370.0,-0.626280665397644,104.0,138
222.0,UTEXAS_10000583_R612,375.0,1.4348037242889404,273.0,380
223.0,UTEXAS_10001187_R1231,383.0,-0.07166886329650879,174.0,235
224.0,UTEXAS_10001422_R1474,390.0,1.4577988386154175,275.0,382
225.0,UTEXAS_10001153_R1197,403.7,-0.6915192604064941,92.0,122
226.0,UTEXAS_10000589_R619,410.0,-1.0199681520462036,56.0,71
227.0,UTEXAS_10000924_R965,419.0,0.4760648012161255,226.0,317
228.0,UTEXAS_10000590_R620,430.0,-1.157036542892456,45.0,56
229.0,UTEXAS_10000430_R456,450.0,-0.33400189876556396,148.0,193
230.0,UTEXAS_10000582_R611,460.0,1.1980394124984741,267.0,373
